date,old_testament,new_testament,questions,answers
2025-11-20,எசேக்கியேல் 27–28,எபிரெயர் 12,"1️⃣ எசேக்கியேல் 27–28 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 27–28 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 27–28 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ எபிரெயர் 12 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ எபிரெயர் 12 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ எபிரெயர் 12 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-21,எசேக்கியேல் 29–30,எபிரெயர் 13,"1️⃣ எசேக்கியேல் 29–30 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 29–30 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 29–30 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ எபிரெயர் 13 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ எபிரெயர் 13 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ எபிரெயர் 13 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-22,எசேக்கியேல் 31–32,2 தீமோத்தேயு 1,"1️⃣ எசேக்கியேல் 31–32 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 31–32 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 31–32 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ 2 தீமோத்தேயு 1 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ 2 தீமோத்தேயு 1 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ 2 தீமோத்தேயு 1 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-23,எசேக்கியேல் 33–34,2 தீமோத்தேயு 2,"1️⃣ எசேக்கியேல் 33–34 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 33–34 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 33–34 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ 2 தீமோத்தேயு 2 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ 2 தீமோத்தேயு 2 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ 2 தீமோத்தேயு 2 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-24,எசேக்கியேல் 35–36,2 தீமோத்தேயு 3,"1️⃣ எசேக்கியேல் 35–36 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 35–36 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 35–36 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ 2 தீமோத்தேயு 3 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ 2 தீமோத்தேயு 3 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ 2 தீமோத்தேயு 3 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-25,எசேக்கியேல் 37–38,2 தீமோத்தேயு 4; 2 பேதுரு 1,"1️⃣ எசேக்கியேல் 37–38 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 37–38 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 37–38 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ 2 தீமோத்தேயு 4; 2 பேதுரு 1 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ 2 தீமோத்தேயு 4; 2 பேதுரு 1 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ 2 தீமோத்தேயு 4; 2 பேதுரு 1 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-26,எசேக்கியேல் 40–41,2 பேதுரு 2,"1️⃣ எசேக்கியேல் 40–41 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 40–41 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 40–41 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ 2 பேதுரு 2 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ 2 பேதுரு 2 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ 2 பேதுரு 2 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-27,எசேக்கியேல் 42–43,2 பேதுரு 3,"1️⃣ எசேக்கியேல் 42–43 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 42–43 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 42–43 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ 2 பேதுரு 3 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ 2 பேதுரு 3 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ 2 பேதுரு 3 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-28,எசேக்கியேல் 44–45,யூதா,"1️⃣ எசேக்கியேல் 44–45 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 44–45 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 44–45 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ யூதா வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ யூதா பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ யூதா வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-29,எசேக்கியேல் 46,1 யோவான் 1,"1️⃣ எசேக்கியேல் 46 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 46 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 46 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ 1 யோவான் 1 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ 1 யோவான் 1 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ 1 யோவான் 1 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-30,எசேக்கியேல் 47–48,1 யோவான் 2,"1️⃣ எசேக்கியேல் 47–48 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 47–48 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 47–48 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ 1 யோவான் 2 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ 1 யோவான் 2 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ 1 யோவான் 2 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-12-01,யோவேல் 1–3,1 யோவான் 3,"1️⃣ யோவேல் 1–3 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ யோவேல் 1–3 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ யோவேல் 1–3 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ 1 யோவான் 3 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ 1 யோவான் 3 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ 1 யோவான் 3 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-12-02,தானியேல் 1–2,1 யோவான் 4,"1️⃣ தானியேல் 1–2 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ தானியேல் 1–2 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ தானியேல் 1–2 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ 1 யோவான் 4 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ 1 யோவான் 4 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ 1 யோவான் 4 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-12-03,தானியேல் 3,1 யோவான் 5,"1️⃣ தானியேல் 3 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ தானியேல் 3 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ தானியேல் 3 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ 1 யோவான் 5 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ 1 யோவான் 5 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ 1 யோவான் 5 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
